site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
hon3yhd.com,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
hulkpop.com,41,32,99,2,0,0,0,1,0,0,0,4,0,0,FALSE,
hypixel.net,6,6,14,0,0,0,0,0,0,0,6,0,0,0,FALSE,
idlelivelink.blogspot.com/p/golink.html?url=ahr0chm6ly9mawxlcy5zzwn1cmvzzxj2zxiubmv0lzrzzkrxunazt0k1qtzy,-4,-26,-4,-1,0,0,0,0,0,-1,0,1,1,0,TRUE,
ifeed2all.eu,5,133,45,14,0,0,0,0,0,0,2,3,1,0,FALSE,
igram.im,0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE,
imagefap.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,*****
imgclick.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
imgpile.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
imgrock.co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
incredibox.com,0,16,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
india-forums.com,0,0,8,0,0,0,0,0,0,0,0,2,1,0,FALSE,
indiatoday.intoday.in,2,27,-31,5,0,0,0,-23,0,0,0,6,0,0,FALSE,
inside-handy.de,-2,-6,43,11,0,0,0,5,0,0,0,7,0,0,FALSE,
iprima.cz,6,109,20,6,0,0,0,2,0,0,0,3,0,0,FALSE,
iprima.cz/tedvarisef,4,159,17,4,0,0,0,0,0,0,0,1,0,0,FALSE,
iptvbin.com,0,0,15,0,0,0,0,0,0,0,0,3,1,0,FALSE,
iptvplaylists.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
iptvultra.com,3,3,36,3,0,0,0,0,0,0,0,8,1,0,FALSE,
iptvultra.com/2016/11/canada-iptv-list-54-channels-19-11-2016.html,431,1526,1387,64,2,0,0,2,61,4,238,9,1,0,FALSE,
italiashare.info,433,1685,1163,281,-1,10,-2,50,7,7,337,3,1,0,TRUE,
italiashare.life,434,2051,1193,291,-1,10,-1,53,7,2,338,3,1,0,TRUE,
itavisen.no,0,-365,78,-7,0,0,-1,39,0,0,-1,5,0,0,TRUE,
itv.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
j.gs,28,1703,59,7,0,0,0,0,0,0,2,5,1,0,FALSE,
j.gs/3dyv,28,1710,59,7,0,0,0,0,0,0,2,5,1,0,FALSE,
jacquieetmicheltv.net,0,0,1,0,0,0,0,0,0,0,0,0,1,0,TRUE,
jav911.com,-1,-66,2,2,0,0,0,0,0,0,0,1,1,0,FALSE,
javadecompilers.com/apk#,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
java-forum.org,0,0,-2,0,0,0,0,-1,0,0,10,1,1,0,TRUE,
javfor.me,5,-60,1,0,0,0,0,0,0,0,3,0,0,0,FALSE,
javhiv.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
jellynote.com,-9,34,2,-8,0,0,0,0,0,0,0,2,1,0,,
jpopasia.com,0,0,6,0,0,0,0,0,0,0,0,2,1,0,,
jpopsingles.com,0,0,4,0,0,0,0,0,0,0,0,3,1,0,,
ki24.info,-8,-48,-3,-5,0,0,0,0,0,-1,0,2,1,0,,
kijk.nl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
kitguru.net,-7,604,-17,-5,-1,0,0,-1,0,-4,-2,0,1,0,,
kurs.com.ua/mezhbank,-7,-761,25,6,0,0,0,1,0,0,0,3,0,0,,
lanacion.com.ar,0,0,22,11,0,0,0,0,0,0,0,11,0,0,,
larioja.com,987,3405,3194,757,0,5,79,200,0,5,812,13,0,0,,
lasprovincias.es,-4,-22,-7,-21,0,0,0,0,0,-1,-1,-6,0,0,,
last.fm,5,-10,11,0,0,0,0,4,0,0,4,0,1,0,,
latimes.com,13,42,73,29,0,0,0,4,0,0,2,12,0,0,,
latin.it,0,0,9,0,0,0,0,0,0,0,0,1,0,0,,
lavanguardia.com,28,121,91,17,7,0,0,10,0,1,15,1,1,0,,
